Model,rows,fw_status_200,fw_errors,fw_has_sentiment,fw_has_emotion,sentiment_accuracy,sentiment_macro_f1,emotion_accuracy,emotion_macro_f1,triplet_term_sent_micro_precision,triplet_term_sent_micro_recall,triplet_term_sent_micro_f1,triplet_cat_sent_coarse_micro_precision,triplet_cat_sent_coarse_micro_recall,triplet_cat_sent_coarse_micro_f1,triplet_full_micro_precision,triplet_full_micro_recall,triplet_full_micro_f1,triplet_term_sent_micro_precision_soft,triplet_term_sent_micro_recall_soft,triplet_term_sent_micro_f1_soft,triplet_cat_sent_micro_precision_soft,triplet_cat_sent_micro_recall_soft,triplet_cat_sent_micro_f1_soft,triplet_full_micro_precision_soft,triplet_full_micro_recall_soft,triplet_full_micro_f1_soft,aspect_category_micro_precision,aspect_category_micro_recall,aspect_category_micro_f1,aspect_term_micro_precision,aspect_term_micro_recall,aspect_term_micro_f1,opinion_term_micro_precision,opinion_term_micro_recall,opinion_term_micro_f1,triplets_sentiment_micro_precision,triplets_sentiment_micro_recall,triplets_sentiment_micro_f1,threshold_cat,threshold_term,threshold_opinion
gemma2-9b-it,300,300,0,300,300,0.6233333333333333,0.6030907531663844,0.5366666666666666,0.32798528034986435,0.8624,0.85828025477707,0.8603351955307262,0.7882736156351792,0.7793880837359098,0.7838056680161943,0.5768621236133122,0.5768621236133122,0.5768621236133122,0.9350237717908082,0.9350237717908082,0.9350237717908082,0.7812995245641838,0.7812995245641838,0.7812995245641838,0.7876386687797148,0.7876386687797148,0.7876386687797148,0.8003169572107766,0.8003169572107766,0.8003169572107766,0.9556259904912837,0.9556259904912837,0.9556259904912837,0.9683042789223455,0.9683042789223455,0.9683042789223455,0.9635499207606973,0.9635499207606973,0.9635499207606973,0.8,0.8,0.8
llama-v3p1-8b-instruct,300,300,0,300,300,0.5566666666666666,0.4900601911157072,0.5966666666666667,0.46583081146850525,0.6788194444444444,0.6226114649681529,0.6495016611295681,0.6835664335664335,0.6296296296296297,0.6554903604358759,0.30318257956448913,0.2868462757527734,0.29478827361563514,0.768595041322314,0.7369255150554676,0.7524271844660194,0.6661157024793388,0.6386687797147385,0.6521035598705501,0.6165289256198347,0.5911251980982567,0.6035598705501617,0.7305785123966942,0.7004754358161648,0.7152103559870551,0.8314049586776859,0.7971473851030111,0.8139158576051779,0.8925619834710744,0.8557844690966719,0.8737864077669903,0.8909090909090909,0.8541996830427893,0.872168284789644,0.8,0.8,0.8
mistral-7b-instruct-v3,300,300,0,297,297,0.4208754208754209,0.38666851441241684,0.4511784511784512,0.2887847030704173,0.5507692307692308,0.5700636942675159,0.5602503912363067,0.5356576862123613,0.5442834138486312,0.5399361022364216,0.2530487804878049,0.2630744849445325,0.257964257964258,0.6539634146341463,0.6798732171156894,0.6666666666666666,0.5304878048780488,0.5515055467511886,0.5407925407925408,0.45884146341463417,0.47702060221870046,0.4677544677544678,0.6234756097560976,0.6481774960380349,0.6355866355866356,0.7332317073170732,0.7622820919175911,0.7474747474747475,0.8256880733944955,0.8557844690966719,0.8404669260700389,0.8201219512195121,0.8526148969889065,0.836052836052836,0.8,0.8,0.8
qwen-v2p5-7b,300,300,0,300,300,0.5166666666666667,0.5190943164689102,0.4,0.24795167627132111,0.6497545008183306,0.6321656050955414,0.6408393866020985,0.6845637583892618,0.6570048309178744,0.6705012325390305,0.2945859872611465,0.2931854199683043,0.2938840349483717,0.7866242038216561,0.7828843106180665,0.7847498014297062,0.6878980891719745,0.6846275752773375,0.6862589356632247,0.6496815286624203,0.6465927099841522,0.64813343923749,0.7388535031847133,0.7353407290015848,0.7370929308975377,0.8296178343949044,0.8256735340729001,0.8276409849086577,0.8901273885350318,0.8858954041204438,0.8880063542494042,0.893312101910828,0.8890649762282092,0.8911834789515487,0.8,0.8,0.8
