Model,rows,fw_status_200,fw_errors,fw_has_sentiment,fw_has_emotion,sentiment_accuracy,sentiment_macro_f1,emotion_accuracy,emotion_macro_f1,triplet_term_sent_micro_precision,triplet_term_sent_micro_recall,triplet_term_sent_micro_f1,triplet_cat_sent_coarse_micro_precision,triplet_cat_sent_coarse_micro_recall,triplet_cat_sent_coarse_micro_f1,triplet_full_micro_precision,triplet_full_micro_recall,triplet_full_micro_f1,triplet_term_sent_micro_precision_soft,triplet_term_sent_micro_recall_soft,triplet_term_sent_micro_f1_soft,triplet_cat_sent_micro_precision_soft,triplet_cat_sent_micro_recall_soft,triplet_cat_sent_micro_f1_soft,triplet_full_micro_precision_soft,triplet_full_micro_recall_soft,triplet_full_micro_f1_soft,aspect_category_micro_precision,aspect_category_micro_recall,aspect_category_micro_f1,aspect_term_micro_precision,aspect_term_micro_recall,aspect_term_micro_f1,opinion_term_micro_precision,opinion_term_micro_recall,opinion_term_micro_f1,triplets_sentiment_micro_precision,triplets_sentiment_micro_recall,triplets_sentiment_micro_f1,threshold_cat,threshold_term,threshold_opinion
ft_gemma2-9b-it,300,300,0,300,300,0.6233333333333333,0.6030907531663844,0.5366666666666666,0.32798528034986435,0.8624,0.85828025477707,0.8603351955307262,0.7882736156351792,0.7793880837359098,0.7838056680161943,0.5768621236133122,0.5768621236133122,0.5768621236133122,0.9350237717908082,0.9350237717908082,0.9350237717908082,0.7812995245641838,0.7812995245641838,0.7812995245641838,0.7876386687797148,0.7876386687797148,0.7876386687797148,0.8003169572107766,0.8003169572107766,0.8003169572107766,0.9556259904912837,0.9556259904912837,0.9556259904912837,0.9683042789223455,0.9683042789223455,0.9683042789223455,0.9635499207606973,0.9635499207606973,0.9635499207606973,0.8,0.8,0.8
ft_llama-v3p1-8b-instruct,300,300,0,300,300,0.62,0.6261140893380209,0.6666666666666666,0.5464763403394401,0.8173228346456692,0.8264331210191083,0.8218527315914488,0.7866242038216561,0.7954911433172303,0.7910328262610088,0.5030959752321982,0.5150554675118859,0.5090054815974941,0.8808049535603715,0.901743264659271,0.8911511354737666,0.7863777089783281,0.8050713153724247,0.7956147220046984,0.7801857585139319,0.7987321711568938,0.7893500391542677,0.8157894736842105,0.8351822503961965,0.8253719655442444,0.9179566563467493,0.9397781299524565,0.9287392325763508,0.934984520123839,0.9572107765451664,0.9459671104150352,0.9210526315789473,0.9429477020602218,0.9318715740015662,0.8,0.8,0.8
ft_mistral-7b-instruct-v3,300,300,0,299,299,0.6321070234113713,0.6243147342822754,0.6187290969899666,0.5235611251067617,0.8295454545454546,0.8136942675159236,0.8215434083601287,0.7911908646003263,0.7809983896940419,0.7860615883306322,0.47115384615384615,0.4659270998415214,0.46852589641434267,0.8830128205128205,0.873217115689382,0.8780876494023904,0.8028846153846154,0.7939778129952456,0.7984063745019919,0.7756410256410257,0.7670364500792393,0.7713147410358566,0.8493589743589743,0.8399366085578447,0.844621513944223,0.9358974358974359,0.9255150554675119,0.9306772908366534,0.9471153846153846,0.936608557844691,0.9418326693227091,0.9246794871794872,0.9144215530903328,0.9195219123505975,0.8,0.8,0.8
ft_qwen-v2p5-7b,300,300,0,300,300,0.6333333333333333,0.6267890989778971,0.6333333333333333,0.44533171827289475,0.7720125786163522,0.7818471337579618,0.7768987341772152,0.7740384615384616,0.7777777777777778,0.7759036144578314,0.4171875,0.4231378763866878,0.4201416207710464,0.8578125,0.8700475435816165,0.863886703383163,0.7890625,0.8003169572107766,0.7946498819826909,0.76875,0.7797147385103012,0.7741935483870969,0.821875,0.8335974643423137,0.8276947285601889,0.9,0.9128367670364501,0.9063729346970889,0.934375,0.9477020602218701,0.940991345397325,0.925,0.9381933438985737,0.9315499606608969,0.8,0.8,0.8
